dst_addr	prb_id	avg	ASN	Country	Name	NumIPs	type
109.68.162.233	6584	4.3037706667	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.27.158.238	6584	26.481262	AS35277	RO	LLHOST INC. SRL	1536	hosting
102.163.98.10	6584	266.8239746667	AS35277	RO	LLHOST INC. SRL	1536	hosting
213.136.12.209	6584	2.6339443333	AS35277	RO	LLHOST INC. SRL	1536	hosting
63.222.40.114	6584	278.6675833333	AS35277	RO	LLHOST INC. SRL	1536	hosting
104.225.102.122	6584	130.6138573333	AS35277	RO	LLHOST INC. SRL	1536	hosting
193.0.0.165	6584	1.3232393333	AS35277	RO	LLHOST INC. SRL	1536	hosting
45.77.211.82	6584	156.545053	AS35277	RO	LLHOST INC. SRL	1536	hosting
217.76.65.78	6584	107.6407053333	AS35277	RO	LLHOST INC. SRL	1536	hosting
193.138.218.50	6584	12.8927346667	AS35277	RO	LLHOST INC. SRL	1536	hosting
103.170.232.152	6584	236.4711673333	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.36.180.55	6584	9.6327543333	AS35277	RO	LLHOST INC. SRL	1536	hosting
147.135.78.61	6584	154.3660366667	AS35277	RO	LLHOST INC. SRL	1536	hosting
37.252.251.26	6584	246.114611	AS35277	RO	LLHOST INC. SRL	1536	hosting
176.119.210.244	6584	61.4551286667	AS35277	RO	LLHOST INC. SRL	1536	hosting
213.158.113.5	6584	41.0204593333	AS35277	RO	LLHOST INC. SRL	1536	hosting
68.232.38.39	6584	83.919162	AS35277	RO	LLHOST INC. SRL	1536	hosting
2.58.52.152	6584	7.70926	AS35277	RO	LLHOST INC. SRL	1536	hosting
156.154.183.254	6584	181.094231	AS35277	RO	LLHOST INC. SRL	1536	hosting
206.144.240.4	6584	105.5120586667	AS35277	RO	LLHOST INC. SRL	1536	hosting
31.130.200.18	6584	55.2304913333	AS35277	RO	LLHOST INC. SRL	1536	hosting
194.156.155.241	6584	34.0483243333	AS35277	RO	LLHOST INC. SRL	1536	hosting
35.241.249.92	6584	5.3960226667	AS35277	RO	LLHOST INC. SRL	1536	hosting
93.88.225.55	6584	36.4276756667	AS35277	RO	LLHOST INC. SRL	1536	hosting
91.237.218.10	6584	9.431106	AS35277	RO	LLHOST INC. SRL	1536	hosting
208.86.250.253	6584	100.9841993333	AS35277	RO	LLHOST INC. SRL	1536	hosting
213.9.97.164	6584	37.1885836667	AS35277	RO	LLHOST INC. SRL	1536	hosting
85.162.162.14	6584	13.91193	AS35277	RO	LLHOST INC. SRL	1536	hosting
94.242.1.50	6584	32.103912	AS35277	RO	LLHOST INC. SRL	1536	hosting
103.151.64.31	6584	323.466239	AS35277	RO	LLHOST INC. SRL	1536	hosting
35.234.152.175	6584	8.0779236667	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.97.160.7	6584	6.5278553333	AS35277	RO	LLHOST INC. SRL	1536	hosting
