dst_addr	prb_id	avg	ASN	Country	Name	NumIPs	type
194.156.155.241	6584	33.9252156667	AS35277	RO	LLHOST INC. SRL	1536	hosting
204.87.183.11	6584	173.832536	AS35277	RO	LLHOST INC. SRL	1536	hosting
195.80.157.38	6584	28.3359663333	AS35277	RO	LLHOST INC. SRL	1536	hosting
143.202.20.39	6584	219.7379533333	AS35277	RO	LLHOST INC. SRL	1536	hosting
204.11.3.45	6584	36.642277	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.156.96.242	6584	33.9973953333	AS35277	RO	LLHOST INC. SRL	1536	hosting
152.195.186.35	6584	247.195067	AS35277	RO	LLHOST INC. SRL	1536	hosting
143.208.160.10	6584	220.3031196667	AS35277	RO	LLHOST INC. SRL	1536	hosting
213.108.25.10	6584	22.6741666667	AS35277	RO	LLHOST INC. SRL	1536	hosting
143.202.20.39	6584	221.8703943333	AS35277	RO	LLHOST INC. SRL	1536	hosting
192.73.253.2	6584	85.5343586667	AS35277	RO	LLHOST INC. SRL	1536	hosting
103.40.209.7	6584	244.5972543333	AS35277	RO	LLHOST INC. SRL	1536	hosting
193.17.192.164	6584	30.8560846667	AS35277	RO	LLHOST INC. SRL	1536	hosting
132.227.123.3	6584	12.2593613333	AS35277	RO	LLHOST INC. SRL	1536	hosting
139.162.27.28	6584	171.6808386667	AS35277	RO	LLHOST INC. SRL	1536	hosting
213.225.160.239	6584	23.824884	AS35277	RO	LLHOST INC. SRL	1536	hosting
193.201.40.210	6584	37.7110016667	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.206.239.122	6584	131.7141466667	AS35277	RO	LLHOST INC. SRL	1536	hosting
203.217.162.30	6584	259.5186063333	AS35277	RO	LLHOST INC. SRL	1536	hosting
208.40.192.202	6584	115.7785963333	AS35277	RO	LLHOST INC. SRL	1536	hosting
203.175.175.206	6584	275.1620566667	AS35277	RO	LLHOST INC. SRL	1536	hosting
128.164.88.178	6584	81.8220833333	AS35277	RO	LLHOST INC. SRL	1536	hosting
213.91.165.187	6584	58.51032	AS35277	RO	LLHOST INC. SRL	1536	hosting
217.65.161.42	6584	8.2014863333	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.184.236.30	6584	9.1763483333	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.173.16.151	6584	39.4813813333	AS35277	RO	LLHOST INC. SRL	1536	hosting
204.9.93.238	6584	80.6869683333	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.173.128.71	6584	39.5906056667	AS35277	RO	LLHOST INC. SRL	1536	hosting
141.105.133.30	6584	52.7094033333	AS35277	RO	LLHOST INC. SRL	1536	hosting
204.11.3.45	6584	36.5829986667	AS35277	RO	LLHOST INC. SRL	1536	hosting
188.130.254.243	6584	67.670785	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.104.85.110	6584	27.739787	AS35277	RO	LLHOST INC. SRL	1536	hosting
212.86.79.78	6584	116.0154626667	AS35277	RO	LLHOST INC. SRL	1536	hosting
204.87.183.11	6584	173.937283	AS35277	RO	LLHOST INC. SRL	1536	hosting
164.113.94.217	6584	161.6238723333	AS35277	RO	LLHOST INC. SRL	1536	hosting
109.230.208.226	6584	142.6102806667	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.173.232.218	6584	1.6088316667	AS35277	RO	LLHOST INC. SRL	1536	hosting
190.15.1.6	6584	182.6737573333	AS35277	RO	LLHOST INC. SRL	1536	hosting
141.44.3.252	6584	20.2268733333	AS35277	RO	LLHOST INC. SRL	1536	hosting
201.220.0.6	6584	194.6663163333	AS35277	RO	LLHOST INC. SRL	1536	hosting
188.124.38.132	6584	57.306092	AS35277	RO	LLHOST INC. SRL	1536	hosting
104.237.152.132	6584	147.4759923333	AS35277	RO	LLHOST INC. SRL	1536	hosting
196.49.15.189	6584	188.6790533333	AS35277	RO	LLHOST INC. SRL	1536	hosting
217.198.242.227	6584	20.5649283333	AS35277	RO	LLHOST INC. SRL	1536	hosting
141.98.136.74	6584	33.2303013333	AS35277	RO	LLHOST INC. SRL	1536	hosting
